SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude
竹東,新竹縣,47,,良好,1.2,0.15,0.2,42,40,31,11,3,4,1,0.7,162,2018-11-29 05:00,15,31,2,121.088903,24.740644
湖口,新竹縣,60,細懸浮微粒,普通,2.8,0.21,0.3,44,40,34,14,8.2,8.9,0.8,4.1,46,2018-11-29 05:00,19,39,3,121.038653,24.900142
龍潭,桃園市,65,細懸浮微粒,普通,2.5,0.21,0.2,48,51,28,20,5.1,5.7,0.6,3.9,57,2018-11-29 05:00,21,33,4,121.21635,24.863869
平鎮,桃園市,54,細懸浮微粒,普通,2.5,0.3,0.4,42,43,31,8,9.8,12,2.6,2.3,59,2018-11-29 05:00,17,38,3,121.203986,24.952786
觀音,桃園市,90,細懸浮微粒,普通,27,0.17,0.4,44,33,39,23,10,10,0.1,4.4,81,2018-11-29 05:00,31,47,9,121.082761,25.035503
大園,桃園市,67,細懸浮微粒,普通,3.5,0.2,0.3,47,37,26,18,11,11,-0.3,4.4,59,2018-11-29 05:00,22,34,4,121.201811,25.060344
桃園,桃園市,59,細懸浮微粒,普通,2.6,0.26,0.4,37,34,31,11,9.9,11,0.8,1.8,48,2018-11-29 05:00,19,37,4,121.319964,24.994789
大同,臺北市,48,,良好,2.5,0.33,0.8,-,,28,13,12,12,-0.4,,,2018-11-29 05:00,15,37,3,121.513311,25.0632
松山,臺北市,59,細懸浮微粒,普通,3.1,0.23,0.4,38,29,33,21,9.1,9.6,0.5,1,23,2018-11-29 05:00,19,36,3,121.578611,25.05
古亭,臺北市,61,細懸浮微粒,普通,1.4,0.17,0.2,46,43,29,16,6.3,7.3,1,1.8,102,2018-11-29 05:00,20,34,2,121.529556,25.020608
萬華,臺北市,58,細懸浮微粒,普通,2.1,0.23,0.4,41,35,30,15,9.3,9.6,0.4,2,92,2018-11-29 05:00,18,34,2,121.507972,25.046503
中山,臺北市,50,,良好,2.2,0.26,0.5,40,31,29,15,11,11,0.8,1.9,117,2018-11-29 05:00,15,37,2,121.526528,25.062361
士林,臺北市,48,,良好,1.1,0.14,0.2,52,51,32,13,1.9,3.1,1.1,1.7,41,2018-11-29 05:00,15,31,2,121.515389,25.105417
淡水,新北市,56,細懸浮微粒,普通,1.6,0.26,0.4,31,24,28,17,6.1,6.6,0.5,,,2018-11-29 05:00,18,29,1,121.449239,25.1645
林口,新北市,45,,良好,2.2,0.2,0.3,42,40,36,9,8.4,9.7,1.3,2.4,55,2018-11-29 05:00,14,42,2,121.376869,25.077197
菜寮,新北市,45,,良好,2.9,0.23,0.4,33,31,28,10,10,11,0.8,2.1,80,2018-11-29 05:00,14,36,2,121.481028,25.06895
新莊,新北市,51,細懸浮微粒,普通,2,0.22,0.4,45,41,37,12,8.1,9.9,1.8,2.1,65,2018-11-29 05:00,16,38,2,121.4325,25.037972
板橋,新北市,58,細懸浮微粒,普通,0.7,0.25,0.4,33,32,26,16,8.5,9,0.5,0.7,95,2018-11-29 05:00,19,34,1,121.458667,25.012972
土城,新北市,61,細懸浮微粒,普通,1,0.19,0.2,42,46,31,15,4.5,4.9,0.4,0.8,360,2018-11-29 05:00,20,31,2,121.451861,24.982528
新店,新北市,43,,良好,1.4,0.2,0.2,41,42,26,12,4.2,5.3,1.1,1.9,146,2018-11-29 05:00,13,27,2,121.537778,24.977222
萬里,新北市,61,臭氧八小時,普通,2.2,0.15,0.2,58,58,48,15,1.4,2,0.6,4.8,45,2018-11-29 05:00,13,50,2,121.689881,25.179667
汐止,新北市,45,,良好,4.9,0.21,0.3,32,25,24,11,14,14,-0.2,1.7,31,2018-11-29 05:00,14,31,5,121.6423,25.067131
基隆,基隆市,43,,良好,1.6,0.14,0.3,52,34,32,12,1.9,2.6,0.7,1.6,80,2018-11-29 05:00,13,31,2,121.760056,25.129167
